name,day,public_holidays
Tamil Thai Pongal Day ,Tue,2019-01-15
Duruthu Full Moon Poya Day ,Sun,2019-01-20
National Day ,Mon,2019-02-04
Navam Full Moon Poya Day ,Tue,2019-02-19
Mahasivarathri Day ,Mon,2019-03-04
Madin Full Moon Poya Day ,Wed,2019-03-20
Day prior to Sinhala & Tamil New Year Day ,Sat,2019-04-13
Sinhala & Tamil New Year Day ,Sun,2019-04-14
Bak Full Moon Poya Day ,Fri,2019-04-19
Good Friday ,Fri,2019-04-19
May Day ,Wed,2019-05-01
Vesak Full Moon Poya Day ,Sat,2019-05-18
Day following Vesak Full Moon Poya Day ,Sun,2019-05-19
Id Ul-Fitr ,Wed,2019-06-05
Poson Full Moon Poya Day ,Sun,2019-06-16
Esala Full Moon Poya Day ,Tue,2019-07-16
Id Ul-Alha ,Mon,2019-08-12
Nikini Full Moon Poya Day ,Wed,2019-08-14
Binara Full Moon Poya Day ,Fri,2019-09-13
Vap Full Moon Poya Day ,Sun,2019-10-13
Deepavali ,Sun,2019-10-27
Milad un-Nabi ,Sun,2019-11-10
Ill Full Moon Poya Day ,Tue,2019-11-12
Unduvap Full Moon Poya Day ,Wed,2019-12-11
Christmas Day ,Wed,2019-12-25
